AnonymousID,HotelInncode,HotelBrand,HotelChainScale,Generation,Department,FullTimePartTime,Tenure,ManagementLevel,WorkLifeBalance,LearningDevelopment,Communication,Voice,RewardsBenefits,WorkEnvironment,IntentToStay
22684,100234,11,4,1,24,1,6,2,4.5,4.67,4.67,5,5,4.5,1
38792,100100,11,4,1,12,1,5,4,2,2.33,4,3.5,2.5,4,0
23552,100246,3,2,3,20,1,8,1,5,5,5,5,5,5,1
10801,100209,10,5,1,21,1,8,2,4.5,2.67,2,2.5,4,2.5,1
18343,100099,4,3,2,38,1,8,1,5,4.67,4.67,5,5,5,1
35176,100281,6,3,2,23,1,7,4,3.5,3.67,3.33,3,3,3.25,0
14120,100222,6,3,2,3,1,4,2,5,5,4.67,5,5,5,1
14298,100272,6,3,1,13,1,6,1,5,5,5,4,5,5,1
10667,100078,11,4,3,5,1,8,2,4.5,5,4.67,4,4.5,4.25,0
13944,100209,10,5,2,21,1,7,2,4,3.67,3,4,3,4,0
33088,100199,6,3,1,14,1,1,4,4,3.67,3.33,3.5,4,4,0
3158,100134,6,3,3,25,1,7,1,4,4,3,4,3.5,3.25,0
13126,100180,6,3,2,21,1,8,4,5,5,5,5,5,5,1
15454,100298,4,3,3,5,1,8,1,4,3.33,4,3.5,3.5,3.75,0
18479,100251,4,3,3,21,1,8,2,4.5,4,4,3.5,4.5,4,1
35743,100068,6,3,2,33,1,6,1,4.5,2.33,3,4,3,3.75,0
32375,100200,11,4,1,20,1,5,2,3.5,3.67,3.33,3.5,3.5,3.75,0
10804,100123,3,2,3,21,1,7,2,5,5,5,5,5,5,1
12461,100078,11,4,1,23,1,4,2,5,4,4,5,5,4.5,1
14271,100255,6,3,1,6,1,6,2,4,3.67,4,4,4,4,0
37153,100252,6,3,1,12,1,6,2,1,5,3,2,5,4.75,1
20995,100136,6,3,1,16,1,4,2,4,4,4,4,4,4,0
27617,100108,5,1,2,28,1,2,2,4,3.67,5,4,4,4.75,0
19216,100228,6,3,1,21,1,5,2,4.5,1.67,3.33,4,2.5,3.5,0
31632,100064,6,3,3,21,1,5,1,4,4.33,4,4,4.5,4,0
9718,100146,2,3,2,20,1,8,2,4.5,3.67,4,4.5,4,4.25,0
38952,100143,11,4,3,34,1,4,1,4.5,4.67,4,4.5,4.5,4.5,0
13506,100070,4,3,1,21,1,5,2,4,4,3,3,4.5,3.5,0
25498,100171,6,3,2,20,1,8,2,5,5,5,5,5,5,1
39543,100211,6,3,3,21,1,8,2,5,5,4.33,5,4.5,4,0
26338,100234,11,4,1,13,1,6,4,4,3.33,5,5,4,4,0
7760,100219,11,4,1,8,1,6,2,5,5,5,5,5,5,1
38267,100243,11,4,3,30,0,7,2,5,4,3,5,3.5,4.25,1
21291,100202,6,3,1,7,0,5,2,4.5,3.33,4.33,4,4,5,0
33623,100228,6,3,3,21,1,8,3,4,5,4,4,4.5,4,0
11552,100255,6,3,1,24,0,5,2,3,3,5,3,3,3,0
39152,100283,3,2,3,21,1,5,2,5,5,4.67,5,4.5,5,1
28257,100283,3,2,2,5,0,7,2,4,4,3.67,5,4,4.25,0
22366,100307,11,4,1,28,0,5,2,5,4.33,5,5,5,5,1
27573,100129,6,3,3,5,1,6,4,3,4,3,3,4.5,3.25,0
39546,100180,6,3,2,21,1,7,2,5,5,4.33,4.5,4.5,4.5,1
29808,100174,4,3,2,33,1,8,2,4,3.33,2,3.5,3,3.75,0
37131,100228,6,3,3,21,1,5,4,3.5,2.33,4,4,4,4,1
32647,100211,6,3,3,21,1,8,2,5,4.33,4.67,4,5,4.75,1
33879,100129,6,3,3,13,1,8,2,4,3,3.33,3.5,3.5,4.25,0
30637,100164,11,4,2,29,0,7,2,5,5,5,5,4.5,4.25,1
10181,100272,6,3,1,27,1,6,1,4,3.67,5,4.5,4.5,5,0
14087,100146,2,3,2,29,1,8,1,5,5,5,5,5,5,1
10310,100197,6,3,3,25,1,6,2,4,1.67,3,1,3,2.75,1
18417,100298,4,3,3,21,1,8,2,4,4.33,5,4,4.5,4.5,0
3902,100217,6,3,1,21,1,5,2,5,3,5,3.5,4,4.75,0
8158,100199,6,3,2,5,0,8,4,3.5,1,3,1.5,3,3,0
38027,100272,6,3,3,21,1,8,1,4,4,4,4,4,4,0
6817,100115,6,3,2,14,1,5,2,5,4,5,4.5,4,4.5,1
9437,100172,6,3,3,1,1,7,1,3.5,4.33,5,5,5,5,1
21702,100211,6,3,3,21,1,8,2,4,4,3.67,2.5,3.5,4,0
39009,100068,6,3,1,21,1,2,2,4,2.67,3.67,4,4.5,4.25,0
13592,100175,11,4,3,25,1,5,2,3,2,3.33,2,3,3.25,0
17797,100168,6,3,2,12,1,8,2,5,3,5,4,4,4,1
5652,100283,3,2,1,15,1,5,2,5,5,5,5,5,5,1
39254,100267,4,3,2,21,1,8,2,5,5,5,5,5,5,1
18492,100087,6,3,1,21,1,6,4,2.5,4.33,4,4,4,3.75,0
37887,100133,3,2,1,21,1,7,1,5,5,5,4,5,4.25,0
29293,100165,3,2,3,21,1,8,2,5,5,5,5,5,5,1
9981,100110,3,2,1,5,0,3,2,5,5,5,5,5,5,1
1862,100295,7,2,1,10,0,2,2,4,4.33,5,5,5,5,1
11840,100070,4,3,1,7,1,5,1,5,5,5,5,5,4.5,1
19072,100134,6,3,1,20,0,6,2,5,5,5,5,5,5,1
695,100078,11,4,3,13,1,8,2,5,5,5,5,5,4,1
21228,100134,6,3,1,7,1,4,2,5,4.67,5,5,5,5,1
10752,100091,6,3,1,16,0,3,1,4,3.67,3.33,3,4,4,0
10815,100128,3,2,1,16,1,6,2,5,4,4,5,5,4.5,0
11697,100155,6,3,1,18,1,6,2,5,5,5,5,5,5,1
34150,100257,4,3,2,21,1,2,4,5,5,5,5,5,5,1
23312,100191,4,3,3,7,1,2,2,4,3.33,5,5,4.5,5,0
19509,100179,4,3,1,8,1,6,1,4,5,5,5,5,5,1
29152,100157,6,3,2,21,1,3,2,4,4,5,4,4.5,4.5,1
17247,100283,3,2,2,21,1,8,2,3,4,1,4,2.5,1.75,1
27815,100093,1,4,2,21,1,6,2,5,4.33,3.67,4,3.5,5,1
30632,100164,11,4,2,21,0,7,3,5,5,5,5,5,5,1
39604,100193,4,3,2,21,1,8,2,4,4,2,4,4,4.25,0
292,100118,3,2,2,13,0,6,2,5,5,5,5,5,5,1
34658,100238,6,3,2,5,1,3,2,5,4.33,3,5,4,5,1
5928,100205,10,5,2,21,1,8,1,4,4,4,4,4,4,0
1132,100248,8,1,1,21,1,2,2,4.5,4,4.33,5,4,4.75,1
28499,100164,11,4,3,29,1,8,4,5,4.67,5,5,5,5,1
19439,100183,4,3,2,25,0,7,2,3.5,3,3,4,4,4.25,0
22960,100123,3,2,2,21,1,8,2,4,3,4.67,3,4,4,0
22168,100104,5,1,2,28,1,7,1,5,5,5,5,5,5,1
12316,100164,11,4,3,23,1,8,2,5,5,4,4,4.5,4.25,1
11816,100068,6,3,1,7,1,5,4,5,3.67,4,3.5,3.5,4.25,0
31656,100164,11,4,3,35,1,8,2,5,4,5,3,4.5,3.25,1
27329,100134,6,3,2,28,1,8,2,4,4,5,5,4.5,5,0
1902,100096,5,1,2,21,1,1,2,5,3.67,5,5,5,5,1
7689,100211,6,3,2,28,1,6,1,2.5,1.33,2.67,3,1,3.75,0
19033,100228,6,3,2,28,0,5,1,3,3,4.67,3.5,4,5,0
8083,100223,6,3,2,38,1,7,2,4,4,4,4,4,4,0
2712,100138,5,1,2,20,0,2,2,5,5,5,5,4.5,5,1
25451,100215,6,3,3,25,1,7,2,5,5,5,4.5,4.5,5,1
28564,100303,4,3,1,34,0,6,2,4,3.67,4,2.5,4.5,4,0
